dataset,n_clusters,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,Ward_Agglomerative_Clustering,Complete_Agglomerative_Clustering,Average_Agglomerative_Clustering,Single_Agglomerative_Clustering,K_Means,Mini_Batch_K_Means,Spectral_Clustering
1,2,0.5279846483150739,0.01066577570651323,0.10327524246649451,-0.25333281185274703,1.2490859160725556,0.00066711140760507,0.004140691495479745,0.01828805410503554,0.07791401163994387,0.26038048354075133,0.40919233511996506,0.19454348876262337,0.0283407329023947,0.004324722228612178,0.0022083687975891974,0.7196291780727382,0.23075153550642957,0.03871546548273562,0.010903820938096663,7.0,3.0,2.0,1.0,4.0,5.0,6.0
1,3,0.5279846483150739,0.01066577570651323,0.10327524246649451,-0.25333281185274703,1.2490859160725556,0.00066711140760507,0.004140691495479745,0.01828805410503554,0.07791401163994387,0.26038048354075133,0.40919233511996506,0.19454348876262337,0.0283407329023947,0.004324722228612178,0.0022083687975891974,0.7196291780727382,0.23075153550642957,0.03871546548273562,0.010903820938096663,7.0,3.0,2.0,1.0,4.0,5.0,6.0
1,4,0.5279846483150739,0.01066577570651323,0.10327524246649451,-0.25333281185274703,1.2490859160725556,0.00066711140760507,0.004140691495479745,0.01828805410503554,0.07791401163994387,0.26038048354075133,0.40919233511996506,0.19454348876262337,0.0283407329023947,0.004324722228612178,0.0022083687975891974,0.7196291780727382,0.23075153550642957,0.03871546548273562,0.010903820938096663,7.0,3.0,2.0,1.0,5.0,6.0,4.0
1,5,0.5279846483150739,0.01066577570651323,0.10327524246649451,-0.25333281185274703,1.2490859160725556,0.00066711140760507,0.004140691495479745,0.01828805410503554,0.07791401163994387,0.26038048354075133,0.40919233511996506,0.19454348876262337,0.0283407329023947,0.004324722228612178,0.0022083687975891974,0.7196291780727382,0.23075153550642957,0.03871546548273562,0.010903820938096663,6.0,7.0,3.0,1.0,4.0,5.0,2.0
1,6,0.5279846483150739,0.01066577570651323,0.10327524246649451,-0.25333281185274703,1.2490859160725556,0.00066711140760507,0.004140691495479745,0.01828805410503554,0.07791401163994387,0.26038048354075133,0.40919233511996506,0.19454348876262337,0.0283407329023947,0.004324722228612178,0.0022083687975891974,0.7196291780727382,0.23075153550642957,0.03871546548273562,0.010903820938096663,6.0,7.0,5.0,2.0,3.0,4.0,1.0
1,7,0.5279846483150739,0.01066577570651323,0.10327524246649451,-0.25333281185274703,1.2490859160725556,0.00066711140760507,0.004140691495479745,0.01828805410503554,0.07791401163994387,0.26038048354075133,0.40919233511996506,0.19454348876262337,0.0283407329023947,0.004324722228612178,0.0022083687975891974,0.7196291780727382,0.23075153550642957,0.03871546548273562,0.010903820938096663,4.0,5.0,6.0,3.0,1.0,7.0,2.0
1,8,0.5279846483150739,0.01066577570651323,0.10327524246649451,-0.25333281185274703,1.2490859160725556,0.00066711140760507,0.004140691495479745,0.01828805410503554,0.07791401163994387,0.26038048354075133,0.40919233511996506,0.19454348876262337,0.0283407329023947,0.004324722228612178,0.0022083687975891974,0.7196291780727382,0.23075153550642957,0.03871546548273562,0.010903820938096663,1.0,2.0,6.0,5.0,3.0,7.0,4.0
1,9,0.5279846483150739,0.01066577570651323,0.10327524246649451,-0.25333281185274703,1.2490859160725556,0.00066711140760507,0.004140691495479745,0.01828805410503554,0.07791401163994387,0.26038048354075133,0.40919233511996506,0.19454348876262337,0.0283407329023947,0.004324722228612178,0.0022083687975891974,0.7196291780727382,0.23075153550642957,0.03871546548273562,0.010903820938096663,1.0,3.0,5.0,6.0,4.0,7.0,2.0
1,10,0.5279846483150739,0.01066577570651323,0.10327524246649451,-0.25333281185274703,1.2490859160725556,0.00066711140760507,0.004140691495479745,0.01828805410503554,0.07791401163994387,0.26038048354075133,0.40919233511996506,0.19454348876262337,0.0283407329023947,0.004324722228612178,0.0022083687975891974,0.7196291780727382,0.23075153550642957,0.03871546548273562,0.010903820938096663,1.0,3.0,7.0,5.0,2.0,6.0,4.0
2,2,0.47497744065449277,0.0394902862686229,0.19872163009753846,0.11144374090843306,-1.145628942929521,0.006152709280470369,0.06239457661970473,0.16345644106732637,0.20299121271024434,0.11476489582161963,0.11466850873106395,0.16719947308390495,0.13182541084997348,0.03436199778309692,0.0021847740525952225,0.5995437677713699,0.39158861989750837,0.008867612331121785,0.0,6.0,5.0,4.0,1.0,3.0,7.0,2.0
2,3,0.47497744065449277,0.0394902862686229,0.19872163009753846,0.11144374090843306,-1.145628942929521,0.006152709280470369,0.06239457661970473,0.16345644106732637,0.20299121271024434,0.11476489582161963,0.11466850873106395,0.16719947308390495,0.13182541084997348,0.03436199778309692,0.0021847740525952225,0.5995437677713699,0.39158861989750837,0.008867612331121785,0.0,6.0,5.0,2.0,4.0,1.0,7.0,3.0
2,4,0.47497744065449277,0.0394902862686229,0.19872163009753846,0.11144374090843306,-1.145628942929521,0.006152709280470369,0.06239457661970473,0.16345644106732637,0.20299121271024434,0.11476489582161963,0.11466850873106395,0.16719947308390495,0.13182541084997348,0.03436199778309692,0.0021847740525952225,0.5995437677713699,0.39158861989750837,0.008867612331121785,0.0,2.0,7.0,4.0,6.0,1.0,5.0,3.0
