dataset,n_clusters,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14,MF15,MF16,MF17,MF18,MF19,Ward_Agglomerative_Clustering,Complete_Agglomerative_Clustering,Average_Agglomerative_Clustering,Single_Agglomerative_Clustering,K_Means,Mini_Batch_K_Means,Spectral_Clustering
1,2,0.3684449324884668,0.02086677422444281,0.144453363493007,0.41298105898438586,0.6678921015973391,0.020013802622498276,0.0906832298136646,0.21481481481481482,0.29054520358868186,0.2112261329652634,0.11184725097768576,0.044214400736139865,0.009431792040487693,0.004554865424430642,0.0026685070163331034,0.695376121463078,0.26105360018403495,0.03639291465378422,0.007177363699102829,7.0,3.0,2.0,1.0,4.0,5.0,6.0
1,3,0.3684449324884668,0.02086677422444281,0.144453363493007,0.41298105898438586,0.6678921015973391,0.020013802622498276,0.0906832298136646,0.21481481481481482,0.29054520358868186,0.2112261329652634,0.11184725097768576,0.044214400736139865,0.009431792040487693,0.004554865424430642,0.0026685070163331034,0.695376121463078,0.26105360018403495,0.03639291465378422,0.007177363699102829,7.0,3.0,2.0,1.0,4.0,5.0,6.0
1,4,0.3684449324884668,0.02086677422444281,0.144453363493007,0.41298105898438586,0.6678921015973391,0.020013802622498276,0.0906832298136646,0.21481481481481482,0.29054520358868186,0.2112261329652634,0.11184725097768576,0.044214400736139865,0.009431792040487693,0.004554865424430642,0.0026685070163331034,0.695376121463078,0.26105360018403495,0.03639291465378422,0.007177363699102829,7.0,3.0,2.0,1.0,5.0,6.0,4.0
1,5,0.3684449324884668,0.02086677422444281,0.144453363493007,0.41298105898438586,0.6678921015973391,0.020013802622498276,0.0906832298136646,0.21481481481481482,0.29054520358868186,0.2112261329652634,0.11184725097768576,0.044214400736139865,0.009431792040487693,0.004554865424430642,0.0026685070163331034,0.695376121463078,0.26105360018403495,0.03639291465378422,0.007177363699102829,6.0,7.0,3.0,1.0,4.0,5.0,2.0
1,6,0.3684449324884668,0.02086677422444281,0.144453363493007,0.41298105898438586,0.6678921015973391,0.020013802622498276,0.0906832298136646,0.21481481481481482,0.29054520358868186,0.2112261329652634,0.11184725097768576,0.044214400736139865,0.009431792040487693,0.004554865424430642,0.0026685070163331034,0.695376121463078,0.26105360018403495,0.03639291465378422,0.007177363699102829,6.0,7.0,5.0,2.0,3.0,4.0,1.0
1,7,0.3684449324884668,0.02086677422444281,0.144453363493007,0.41298105898438586,0.6678921015973391,0.020013802622498276,0.0906832298136646,0.21481481481481482,0.29054520358868186,0.2112261329652634,0.11184725097768576,0.044214400736139865,0.009431792040487693,0.004554865424430642,0.0026685070163331034,0.695376121463078,0.26105360018403495,0.03639291465378422,0.007177363699102829,3.0,4.0,6.0,2.0,1.0,7.0,5.0
1,8,0.3684449324884668,0.02086677422444281,0.144453363493007,0.41298105898438586,0.6678921015973391,0.020013802622498276,0.0906832298136646,0.21481481481481482,0.29054520358868186,0.2112261329652634,0.11184725097768576,0.044214400736139865,0.009431792040487693,0.004554865424430642,0.0026685070163331034,0.695376121463078,0.26105360018403495,0.03639291465378422,0.007177363699102829,3.0,2.0,6.0,4.0,1.0,7.0,5.0
1,9,0.3684449324884668,0.02086677422444281,0.144453363493007,0.41298105898438586,0.6678921015973391,0.020013802622498276,0.0906832298136646,0.21481481481481482,0.29054520358868186,0.2112261329652634,0.11184725097768576,0.044214400736139865,0.009431792040487693,0.004554865424430642,0.0026685070163331034,0.695376121463078,0.26105360018403495,0.03639291465378422,0.007177363699102829,2.0,4.0,5.0,6.0,3.0,7.0,1.0
1,10,0.3684449324884668,0.02086677422444281,0.144453363493007,0.41298105898438586,0.6678921015973391,0.020013802622498276,0.0906832298136646,0.21481481481481482,0.29054520358868186,0.2112261329652634,0.11184725097768576,0.044214400736139865,0.009431792040487693,0.004554865424430642,0.0026685070163331034,0.695376121463078,0.26105360018403495,0.03639291465378422,0.007177363699102829,1.0,3.0,7.0,5.0,2.0,6.0,4.0
2,2,0.5384437026470629,0.021558755708092115,0.14682900159059897,-0.36001072765397907,0.39282946907364913,0.00796812749003984,0.0014458295848862614,0.03849119650430536,0.13918519470505075,0.19290579617015807,0.2610204343914664,0.22529237887161033,0.1078267574861843,0.02428993702608919,0.0015743477702094845,0.6654671636036499,0.3058732810692713,0.020659298290708134,0.008000257036370646,6.0,5.0,4.0,1.0,3.0,7.0,2.0
