,Test_Dataset,N_Neighbors,k = 2,k = 3,k = 4,k = 5,k = 6,k = 7,k = 8,k = 9,k = 10
0,0.0,2.0,0.642857142857143,0.6785714285714287,0.1785714285714286,-0.10714285714285716,0.4642857142857144,0.6785714285714287,0.6785714285714287,0.9642857142857145,0.9285714285714288
1,0.0,3.0,0.642857142857143,0.8928571428571429,0.39285714285714296,-0.10714285714285716,0.4642857142857144,0.5714285714285715,0.642857142857143,0.8214285714285715,0.9285714285714288
2,0.0,4.0,0.6071428571428572,0.8571428571428573,0.5357142857142858,-0.1785714285714286,0.5357142857142858,0.642857142857143,0.8214285714285715,0.9642857142857145,0.9642857142857145
3,0.0,5.0,0.642857142857143,0.7500000000000002,0.4642857142857144,-0.10714285714285716,0.5357142857142858,0.642857142857143,0.8214285714285715,0.9642857142857145,0.9642857142857145
4,0.0,6.0,0.642857142857143,0.8571428571428573,0.5357142857142858,-0.1785714285714286,0.5357142857142858,0.642857142857143,0.8214285714285715,0.9642857142857145,0.9642857142857145
5,0.0,7.0,0.642857142857143,0.7500000000000002,0.5357142857142858,-0.10714285714285716,0.5714285714285715,0.642857142857143,0.7857142857142859,0.9642857142857145,0.9642857142857145
6,0.0,8.0,0.642857142857143,0.7500000000000002,0.642857142857143,-0.10714285714285716,0.5357142857142858,0.642857142857143,0.8571428571428573,0.9642857142857145,0.9642857142857145
7,0.0,9.0,0.642857142857143,0.7500000000000002,0.642857142857143,-0.10714285714285716,0.39285714285714296,0.642857142857143,0.8571428571428573,0.9642857142857145,0.9642857142857145
8,0.0,10.0,0.6785714285714287,0.7500000000000002,0.7857142857142859,-0.10714285714285716,0.3214285714285715,0.642857142857143,0.8571428571428573,0.9642857142857145,0.9642857142857145
9,0.0,11.0,0.6071428571428572,0.8571428571428573,0.642857142857143,-0.1785714285714286,0.39285714285714296,0.5,0.8571428571428573,0.9642857142857145,0.9642857142857145
10,0.0,12.0,0.6071428571428572,0.8571428571428573,0.642857142857143,-0.1785714285714286,0.5357142857142858,0.642857142857143,0.8571428571428573,0.9642857142857145,0.9642857142857145
11,0.0,13.0,0.642857142857143,0.8571428571428573,0.642857142857143,-0.1785714285714286,0.39285714285714296,0.642857142857143,0.7857142857142859,0.9642857142857145,0.9642857142857145
12,0.0,14.0,0.642857142857143,0.8571428571428573,0.6785714285714287,-0.1785714285714286,0.28571428571428575,0.6071428571428572,0.7857142857142859,0.8928571428571429,0.9642857142857145
13,0.0,15.0,0.642857142857143,0.8571428571428573,0.6785714285714287,-0.1785714285714286,0.28571428571428575,0.42857142857142866,0.642857142857143,0.8928571428571429,0.9642857142857145
14,0.0,16.0,0.642857142857143,0.8571428571428573,0.6785714285714287,-0.1785714285714286,0.28571428571428575,0.42857142857142866,0.642857142857143,0.8928571428571429,0.8928571428571429
15,0.0,17.0,0.642857142857143,0.8571428571428573,0.6785714285714287,-0.1785714285714286,0.28571428571428575,0.42857142857142866,0.642857142857143,0.8928571428571429,0.8928571428571429
16,0.0,18.0,0.642857142857143,0.8571428571428573,0.8214285714285715,-0.1785714285714286,0.28571428571428575,0.42857142857142866,0.7857142857142859,0.8928571428571429,0.8928571428571429
17,0.0,19.0,0.7500000000000002,0.7500000000000002,0.8214285714285715,-0.1785714285714286,0.28571428571428575,0.42857142857142866,0.7857142857142859,0.8928571428571429,0.8928571428571429
18,0.0,20.0,0.642857142857143,0.7500000000000002,0.8214285714285715,-0.1785714285714286,0.28571428571428575,0.42857142857142866,0.642857142857143,0.8928571428571429,0.8928571428571429
19,0.0,21.0,0.642857142857143,0.8571428571428573,0.8214285714285715,-0.1785714285714286,0.28571428571428575,0.42857142857142866,0.7857142857142859,0.8928571428571429,0.8928571428571429
20,0.0,22.0,0.6785714285714287,0.8571428571428573,0.8214285714285715,-0.1785714285714286,0.28571428571428575,0.42857142857142866,0.642857142857143,0.8928571428571429,0.8928571428571429
21,0.0,23.0,0.642857142857143,0.8571428571428573,0.8214285714285715,-0.1785714285714286,0.28571428571428575,0.42857142857142866,0.7857142857142859,0.7857142857142859,0.8928571428571429
22,0.0,24.0,0.5714285714285715,0.8571428571428573,0.8214285714285715,-0.1785714285714286,0.28571428571428575,0.42857142857142866,0.642857142857143,0.7857142857142859,0.8928571428571429
23,0.0,25.0,0.5,0.8571428571428573,0.8214285714285715,-0.07142857142857144,0.28571428571428575,0.42857142857142866,0.642857142857143,0.7857142857142859,0.7857142857142859
24,0.0,26.0,0.5,0.8571428571428573,0.8214285714285715,-0.07142857142857144,0.28571428571428575,0.42857142857142866,0.642857142857143,0.7857142857142859,0.7857142857142859
25,0.0,27.0,0.5357142857142858,0.9285714285714288,0.8214285714285715,-0.07142857142857144,0.28571428571428575,0.42857142857142866,0.642857142857143,0.7857142857142859,0.7857142857142859
26,0.0,28.0,0.5357142857142858,0.9285714285714288,0.8214285714285715,-0.07142857142857144,0.28571428571428575,0.42857142857142866,0.642857142857143,0.7857142857142859,0.7857142857142859
27,0.0,29.0,0.5,0.9285714285714288,0.8214285714285715,-0.07142857142857144,0.28571428571428575,0.42857142857142866,0.642857142857143,0.7857142857142859,0.7857142857142859
28,0.0,30.0,0.5,0.9285714285714288,0.8214285714285715,-0.07142857142857144,0.28571428571428575,0.42857142857142866,0.642857142857143,0.7857142857142859,0.7857142857142859
29,0.0,31.0,0.5,0.9285714285714288,0.8214285714285715,-0.07142857142857144,0.28571428571428575,0.42857142857142866,0.642857142857143,0.7857142857142859,0.8928571428571429
